Propose Measure,Measure Type,Measure Description,Measure Code,LED Manufacturer,Model Number,Proposed Qty,Proposed Total Units,Lumens / Fixture,Watts / Fixture,Efficacy / Proposed Device,INC,INC 2,DLC / Energy Star ID,Reported Model Number,Reported Lumens,Reported Wattage,Reported Efficacy
Backlit 2x4_S(WC)_30W,LED Troffer Luminaires,New LED troffer for 2x4 luminaires,RL 102,"Fuchuan Kinlight Co., Ltd","JL-BPL24-30W-CCT[Blank,-S]-VL[Blank,-BC]",,,4029,29.8,135.3,$100,$350.00,,"JL-BPL24-30W-CCT[Blank,-S]-VL[Blank,-BC]",4029,29.8,135.3
Backlit 2x4_S(WC)_25W,LED Troffer Luminaires,New LED troffer for 2x4 luminaires,RL 102,"Fuchuan Kinlight Co., Ltd","JL-BPL24-25W-CCT[Blank,-S]-VL[Blank,-BC]",,,3336,24.8,135.1,$100,$350.00,,"JL-BPL24-25W-CCT[Blank,-S]-VL[Blank,-BC]",3336,24.8,135.1
LED Linear Lamp (1T8),LED Replacement Lamps,Installation of a Type C LED linear lamp and new LED driver,RL 181,Duralife LED,ZY-T8-18W1200 BIXX-1-C-40K,,,2685.58,18.8,142.85,$4,$14.00,,ZY-T8-18W1200 BIXX-1-C-40K,2685.58,18.8,142.85
LED Linear Highbay 21Klm_4K_Std_Venas,LED High/Low Bay Luminaires,"New LED high/low bay luminaire - 20,000 lm  - 29,999 lm",,"Venas Co., Limited",H5-160W XDZ 4000K,,,21600,160,135,$300,"$1,050.00",,H5-160W XDZ 4000K,21600,160,135
LED Linear Highbay 20Klm_4K_Prm,LED High/Low Bay Luminaires,"New LED high/low bay luminaire - 20,000 lm  - 29,999 lm",,GreenTek Energy Systems,GT-HB07-150WSACGD1-a[S;Blank][M;Blank]40,,,20485.9,153.38,133.56,$300,"$1,050.00",,GT-HB07-150WSACGD1-a[S;Blank][M;Blank]40,20485.9,153.38,133.56
LED Linear Highbay 21Klm_5K_Std,LED High/Low Bay Luminaires,"New LED high/low bay luminaire - 20,000 lm  - 29,999 lm",,Builders Pack,"33-LHB-12-7165-850-D-[S, N]-LP",,,21285,165,129,$300,"$1,050.00",,"33-LHB-12-7165-850-D-[S, N]-LP",21285,165,129
LED Circular Highbay 22Klm_5K_Prm,LED High/Low Bay Luminaires,"New LED high/low bay luminaire - 20,000 lm  - 29,999 lm",,"Precision Lighting & Tansformer, Inc",PLTE72231,,,22500,150,150,$300,"$1,050.00",,PLTE72231,22500,150,150
LED Linear Highbay 11Klm_5K_Prm,LED High/Low Bay Luminaires,"New LED high/low bay luminaire - 10,000 lm  - 19,999 lm",,"Venas Co., Limited",ZY-H2-80W XDZ 5000K,,,11121,81.23,137,$300,"$1,050.00",,ZY-H2-80W XDZ 5000K,11121,81.23,137
LED Linear Highbay 11Klm_4K_Prm,LED High/Low Bay Luminaires,"New LED high/low bay luminaire - 10,000 lm  - 19,999 lm",,"Venas CO., Limited",ZY-H2-80W XDZ 4000K,,,11121,81.23,137,$300,"$1,050.00",,ZY-H2-80W XDZ 4000K,11121,81.23,137
Top_Post_151W,LED Troffer Luminaires,"New LED exterior luminaire - 20,000 lm - 29,999 lm",Top Post,RuggedGrade,RGLCENTAURI2-150WSBT2GA1-a[MS;Blank][10SP;20SP;Blank]d50,,,20259.1,151.32,133.89,$350,"$1,225.00",,RGLCENTAURI2-150WSBT2GA1-a[MS;Blank][10SP;20SP;Blank]d50,20259.1,151.32,133.89
